Ranking (Top 100) for the queries in Cleaned_Queries.txt in the format:
query_id Q0 doc_id rank BM25_Relevance_score system_name


For query : what articles exist which deal with tss time sharing system an operating system for ibm computers

1 Q0 CACM-1657 1 38.475256423451356 BM25_model
1 Q0 CACM-1938 2 36.489223189891646 BM25_model
1 Q0 CACM-1827 3 35.50893078303343 BM25_model
1 Q0 CACM-1572 4 34.330918727784244 BM25_model
1 Q0 CACM-1410 5 34.32605743968385 BM25_model
1 Q0 CACM-1605 6 34.29910931027052 BM25_model
1 Q0 CACM-2371 7 33.24782154254727 BM25_model
1 Q0 CACM-2319 8 33.18504002300256 BM25_model
1 Q0 CACM-1844 9 33.16949691685277 BM25_model
1 Q0 CACM-2379 10 33.02351917569638 BM25_model
1 Q0 CACM-2218 11 33.00973065566009 BM25_model
1 Q0 CACM-2344 12 32.18137160848153 BM25_model
1 Q0 CACM-1519 13 31.725094333730055 BM25_model
1 Q0 CACM-2629 14 31.524304218968442 BM25_model
1 Q0 CACM-1071 15 31.326432604269815 BM25_model
1 Q0 CACM-2378 16 31.150475860310582 BM25_model
1 Q0 CACM-1591 17 31.118089058962028 BM25_model
1 Q0 CACM-2947 18 31.062352776109343 BM25_model
1 Q0 CACM-2357 19 30.956358699320297 BM25_model
1 Q0 CACM-2535 20 30.923152727210905 BM25_model
1 Q0 CACM-1033 21 30.58699951799363 BM25_model
1 Q0 CACM-1544 22 30.565425503057224 BM25_model
1 Q0 CACM-1523 23 30.55308091642157 BM25_model
1 Q0 CACM-2151 24 30.51641294383773 BM25_model
1 Q0 CACM-1393 25 29.971337448627438 BM25_model
1 Q0 CACM-2424 26 29.73441517526635 BM25_model
1 Q0 CACM-1749 27 29.660322677874834 BM25_model
1 Q0 CACM-2501 28 29.574649510938883 BM25_model
1 Q0 CACM-1908 29 29.505073024097843 BM25_model
1 Q0 CACM-0637 30 29.302225252461962 BM25_model
1 Q0 CACM-2439 31 29.25748225516878 BM25_model
1 Q0 CACM-3025 32 29.1586118182034 BM25_model
1 Q0 CACM-1226 33 29.134184389975445 BM25_model
1 Q0 CACM-2632 34 28.91891273587943 BM25_model
1 Q0 CACM-1752 35 28.89353171356818 BM25_model
1 Q0 CACM-2380 36 28.736401329402078 BM25_model
1 Q0 CACM-1647 37 28.690786895688095 BM25_model
1 Q0 CACM-1506 38 28.288649546439526 BM25_model
1 Q0 CACM-1173 39 28.19896178405635 BM25_model
1 Q0 CACM-2950 40 28.18780519829435 BM25_model
1 Q0 CACM-2541 41 28.082473178361298 BM25_model
1 Q0 CACM-1750 42 27.885815843862996 BM25_model
1 Q0 CACM-2372 43 27.86447609979781 BM25_model
1 Q0 CACM-1264 44 27.71445204344948 BM25_model
1 Q0 CACM-1885 45 27.627552284131504 BM25_model
1 Q0 CACM-2188 46 27.577452009879263 BM25_model
1 Q0 CACM-1959 47 27.49214359559411 BM25_model
1 Q0 CACM-2522 48 27.400462188539795 BM25_model
1 Q0 CACM-2080 49 27.38938651118471 BM25_model
1 Q0 CACM-1341 50 27.36066174328281 BM25_model
1 Q0 CACM-2740 51 27.307058998302168 BM25_model
1 Q0 CACM-3127 52 27.225578132510854 BM25_model
