Ranking (Top 100) for the queries in Cleaned_Queries.txt in the format:
query_id Q0 doc_id rank BM25_NoRelevance_score system_name


For query : what articles exist which deal with tss time sharing system an operating system for ibm computers

1 Q0 CACM-1657 1 27.19982101168295 BM25_model_NoRelevance
1 Q0 CACM-2319 2 26.737109796647783 BM25_model_NoRelevance
1 Q0 CACM-2629 3 24.899128539749423 BM25_model_NoRelevance
1 Q0 CACM-1938 4 23.904685070713874 BM25_model_NoRelevance
1 Q0 CACM-1844 5 23.779254730491896 BM25_model_NoRelevance
1 Q0 CACM-1410 6 23.62149284207799 BM25_model_NoRelevance
1 Q0 CACM-2151 7 23.28636696926025 BM25_model_NoRelevance
1 Q0 CACM-1827 8 22.8751854796075 BM25_model_NoRelevance
1 Q0 CACM-2379 9 22.664318791673757 BM25_model_NoRelevance
1 Q0 CACM-2218 10 22.55359887385964 BM25_model_NoRelevance
1 Q0 CACM-1572 11 22.376183101647314 BM25_model_NoRelevance
1 Q0 CACM-1605 12 22.25642403232141 BM25_model_NoRelevance
1 Q0 CACM-1519 13 21.956608723731833 BM25_model_NoRelevance
1 Q0 CACM-2947 14 21.739608254617657 BM25_model_NoRelevance
1 Q0 CACM-2378 15 21.57449298806327 BM25_model_NoRelevance
1 Q0 CACM-2357 16 21.472093661555277 BM25_model_NoRelevance
1 Q0 CACM-1749 17 21.22685910285127 BM25_model_NoRelevance
1 Q0 CACM-1591 18 21.19288976170133 BM25_model_NoRelevance
1 Q0 CACM-2371 19 21.150600701486265 BM25_model_NoRelevance
1 Q0 CACM-3025 20 20.89577859367477 BM25_model_NoRelevance
1 Q0 CACM-1752 21 20.80541901942984 BM25_model_NoRelevance
1 Q0 CACM-1071 22 20.791979035116412 BM25_model_NoRelevance
1 Q0 CACM-2424 23 20.734228902268786 BM25_model_NoRelevance
1 Q0 CACM-2541 24 20.695718536175537 BM25_model_NoRelevance
1 Q0 CACM-1908 25 20.470243664158996 BM25_model_NoRelevance
1 Q0 CACM-1462 26 20.40626522268151 BM25_model_NoRelevance
1 Q0 CACM-2535 27 20.16670114866954 BM25_model_NoRelevance
1 Q0 CACM-2344 28 20.072395009611903 BM25_model_NoRelevance
1 Q0 CACM-1750 29 20.058420239987946 BM25_model_NoRelevance
1 Q0 CACM-1033 30 20.04797760104898 BM25_model_NoRelevance
1 Q0 CACM-1161 31 19.970714499221035 BM25_model_NoRelevance
1 Q0 CACM-1680 32 19.81638639597503 BM25_model_NoRelevance
1 Q0 CACM-3127 33 19.814431734739436 BM25_model_NoRelevance
1 Q0 CACM-1747 34 19.652836291334165 BM25_model_NoRelevance
1 Q0 CACM-2950 35 19.559321752897166 BM25_model_NoRelevance
1 Q0 CACM-1647 36 19.511141047296157 BM25_model_NoRelevance
1 Q0 CACM-2219 37 19.437993059635687 BM25_model_NoRelevance
1 Q0 CACM-2740 38 19.40649724685508 BM25_model_NoRelevance
1 Q0 CACM-1698 39 19.393711528503772 BM25_model_NoRelevance
1 Q0 CACM-1523 40 19.271896540644267 BM25_model_NoRelevance
1 Q0 CACM-2632 41 19.2440086583101 BM25_model_NoRelevance
1 Q0 CACM-2054 42 19.00503432849634 BM25_model_NoRelevance
