Ranking (Top 100) for the queries in Cleaned_Queries.txt in the format:
query_id Q0 doc_id rank TF-IDF_normalized_score system_name


For query : what articles exist which deal with tss time sharing system an operating system for ibm computers

1 Q0 CACM-1938 1 1.1476600193303368 tf_idf_model
1 Q0 CACM-1657 2 0.9782970990268699 tf_idf_model
1 Q0 CACM-2319 3 0.9729022123902715 tf_idf_model
1 Q0 CACM-2407 4 0.9350874480617986 tf_idf_model
1 Q0 CACM-1959 5 0.8523243663379293 tf_idf_model
1 Q0 CACM-2371 6 0.7965575078674452 tf_idf_model
1 Q0 CACM-2126 7 0.7898912416975855 tf_idf_model
1 Q0 CACM-1071 8 0.7756127980482204 tf_idf_model
1 Q0 CACM-2764 9 0.76473786718739 tf_idf_model
1 Q0 CACM-1393 10 0.761538946287235 tf_idf_model
1 Q0 CACM-1827 11 0.759302740571094 tf_idf_model
1 Q0 CACM-1033 12 0.7549383009689944 tf_idf_model
1 Q0 CACM-1885 13 0.7466983721208271 tf_idf_model
1 Q0 CACM-2311 14 0.7426916818920798 tf_idf_model
1 Q0 CACM-2372 15 0.7419183812590887 tf_idf_model
1 Q0 CACM-1226 16 0.73293091896717 tf_idf_model
1 Q0 CACM-2796 17 0.7249296765395858 tf_idf_model
1 Q0 CACM-3068 18 0.7221103973236859 tf_idf_model
1 Q0 CACM-2812 19 0.7198811201709588 tf_idf_model
1 Q0 CACM-0594 20 0.708512828006838 tf_idf_model
1 Q0 CACM-1179 21 0.7076486462543508 tf_idf_model
1 Q0 CACM-2629 22 0.7017351888895983 tf_idf_model
1 Q0 CACM-1844 23 0.7008636580345557 tf_idf_model
1 Q0 CACM-2740 24 0.7004191755613755 tf_idf_model
1 Q0 CACM-2308 25 0.6982671841389669 tf_idf_model
1 Q0 CACM-1591 26 0.6951029380262029 tf_idf_model
1 Q0 CACM-2357 27 0.694971452277285 tf_idf_model
1 Q0 CACM-2541 28 0.6946502336555723 tf_idf_model
1 Q0 CACM-3087 29 0.6928825761195947 tf_idf_model
1 Q0 CACM-2965 30 0.6924411697069737 tf_idf_model
1 Q0 CACM-1572 31 0.6919292346008865 tf_idf_model
1 Q0 CACM-1719 32 0.6889974637637012 tf_idf_model
1 Q0 CACM-1989 33 0.687306598746416 tf_idf_model
1 Q0 CACM-2379 34 0.6854567719438448 tf_idf_model
1 Q0 CACM-1032 35 0.685290194195686 tf_idf_model
1 Q0 CACM-1900 36 0.678729487020645 tf_idf_model
1 Q0 CACM-2988 37 0.6743155025370247 tf_idf_model
1 Q0 CACM-1173 38 0.6721692963524252 tf_idf_model
1 Q0 CACM-0656 39 0.6699164059826269 tf_idf_model
1 Q0 CACM-2798 40 0.6671323972499807 tf_idf_model
1 Q0 CACM-2365 41 0.6669893047418601 tf_idf_model
1 Q0 CACM-1542 42 0.6665910078555775 tf_idf_model
1 Q0 CACM-1519 43 0.664151659352722 tf_idf_model
1 Q0 CACM-1937 44 0.6610835604940904 tf_idf_model
1 Q0 CACM-1917 45 0.6600729950066541 tf_idf_model
1 Q0 CACM-2345 46 0.6564677429191834 tf_idf_model
1 Q0 CACM-2947 47 0.6543510991990549 tf_idf_model
