Ranking (Top 100) for the queries in Cleaned_queries.txt in the format:
query_id Q0 doc_id rank Lucene_score system_name

For query: what articles exist which deal with tss time sharing system an operating system for ibm computers

1 Q0 CACM-2629 1 0.30461547 LuceneNoStopNoStem
1 Q0 CACM-2218 2 0.27947518 LuceneNoStopNoStem
1 Q0 CACM-2319 3 0.27395955 LuceneNoStopNoStem
1 Q0 CACM-1410 4 0.2719881 LuceneNoStopNoStem
1 Q0 CACM-1657 5 0.26663545 LuceneNoStopNoStem
1 Q0 CACM-1749 6 0.26043817 LuceneNoStopNoStem
1 Q0 CACM-2054 7 0.24611919 LuceneNoStopNoStem
1 Q0 CACM-1938 8 0.24371359 LuceneNoStopNoStem
1 Q0 CACM-2151 9 0.24286963 LuceneNoStopNoStem
1 Q0 CACM-2357 10 0.24241887 LuceneNoStopNoStem
1 Q0 CACM-2219 11 0.24237701 LuceneNoStopNoStem
1 Q0 CACM-1519 12 0.24233252 LuceneNoStopNoStem
1 Q0 CACM-1827 13 0.24159703 LuceneNoStopNoStem
1 Q0 CACM-2378 14 0.23491518 LuceneNoStopNoStem
1 Q0 CACM-1161 15 0.2283251 LuceneNoStopNoStem
1 Q0 CACM-1805 16 0.22740974 LuceneNoStopNoStem
1 Q0 CACM-1698 17 0.22530697 LuceneNoStopNoStem
1 Q0 CACM-2920 18 0.22514538 LuceneNoStopNoStem
1 Q0 CACM-1844 19 0.22105438 LuceneNoStopNoStem
1 Q0 CACM-1071 20 0.2123985 LuceneNoStopNoStem
1 Q0 CACM-1605 21 0.21189332 LuceneNoStopNoStem
1 Q0 CACM-2424 22 0.20890068 LuceneNoStopNoStem
1 Q0 CACM-2379 23 0.20825261 LuceneNoStopNoStem
1 Q0 CACM-1752 24 0.2073222 LuceneNoStopNoStem
1 Q0 CACM-1591 25 0.19193532 LuceneNoStopNoStem
1 Q0 CACM-2535 26 0.19171104 LuceneNoStopNoStem
1 Q0 CACM-2950 27 0.19071952 LuceneNoStopNoStem
1 Q0 CACM-1908 28 0.18809347 LuceneNoStopNoStem
1 Q0 CACM-1877 29 0.18719827 LuceneNoStopNoStem
1 Q0 CACM-1462 30 0.18378766 LuceneNoStopNoStem
1 Q0 CACM-1408 31 0.18340513 LuceneNoStopNoStem
1 Q0 CACM-2500 32 0.1823597 LuceneNoStopNoStem
1 Q0 CACM-2371 33 0.18153937 LuceneNoStopNoStem
1 Q0 CACM-3174 34 0.17834078 LuceneNoStopNoStem
1 Q0 CACM-2947 35 0.17784831 LuceneNoStopNoStem
1 Q0 CACM-1753 36 0.17281415 LuceneNoStopNoStem
1 Q0 CACM-2317 37 0.17089055 LuceneNoStopNoStem
1 Q0 CACM-3127 38 0.16951667 LuceneNoStopNoStem
1 Q0 CACM-1315 39 0.1692843 LuceneNoStopNoStem
1 Q0 CACM-0585 40 0.16926403 LuceneNoStopNoStem
1 Q0 CACM-1487 41 0.16887309 LuceneNoStopNoStem
1 Q0 CACM-1033 42 0.16782235 LuceneNoStopNoStem
1 Q0 CACM-2522 43 0.1668576 LuceneNoStopNoStem
1 Q0 CACM-2541 44 0.16656011 LuceneNoStopNoStem
1 Q0 CACM-3025 45 0.16548815 LuceneNoStopNoStem
1 Q0 CACM-2380 46 0.16508181 LuceneNoStopNoStem
1 Q0 CACM-1572 47 0.16366476 LuceneNoStopNoStem
1 Q0 CACM-1391 48 0.16106056 LuceneNoStopNoStem
1 Q0 CACM-1647 49 0.1601843 LuceneNoStopNoStem
1 Q0 CACM-0971 50 0.1599321 LuceneNoStopNoStem
1 Q0 CACM-2358 51 0.15843703 LuceneNoStopNoStem
1 Q0 CACM-1854 52 0.15703699 LuceneNoStopNoStem
1 Q0 CACM-1506 53 0.15487282 LuceneNoStopNoStem
1 Q0 CACM-1892 54 0.15025279 LuceneNoStopNoStem
1 Q0 CACM-2948 55 0.14937352 LuceneNoStopNoStem
1 Q0 CACM-1680 56 0.14770642 LuceneNoStopNoStem
1 Q0 CACM-1046 57 0.14748411 LuceneNoStopNoStem
1 Q0 CACM-0698 58 0.1466054 LuceneNoStopNoStem
1 Q0 CACM-2344 59 0.14436507 LuceneNoStopNoStem
1 Q0 CACM-1960 60 0.14389513 LuceneNoStopNoStem
1 Q0 CACM-1523 61 0.14264932 LuceneNoStopNoStem
1 Q0 CACM-1440 62 0.1386297 LuceneNoStopNoStem
1 Q0 CACM-3069 63 0.13831182 LuceneNoStopNoStem
1 Q0 CACM-2946 64 0.13387002 LuceneNoStopNoStem
1 Q0 CACM-3048 65 0.13327539 LuceneNoStopNoStem
1 Q0 CACM-1464 66 0.13298155 LuceneNoStopNoStem
1 Q0 CACM-1225 67 0.12817858 LuceneNoStopNoStem
1 Q0 CACM-2632 68 0.12692745 LuceneNoStopNoStem
1 Q0 CACM-2439 69 0.12666129 LuceneNoStopNoStem
1 Q0 CACM-2501 70 0.12607071 LuceneNoStopNoStem
1 Q0 CACM-1685 71 0.12543844 LuceneNoStopNoStem
1 Q0 CACM-1168 72 0.12311453 LuceneNoStopNoStem
1 Q0 CACM-1750 73 0.123094104 LuceneNoStopNoStem
1 Q0 CACM-3068 74 0.121850796 LuceneNoStopNoStem
1 Q0 CACM-2092 75 0.12129873 LuceneNoStopNoStem
1 Q0 CACM-1544 76 0.12117496 LuceneNoStopNoStem
1 Q0 CACM-2740 77 0.12080723 LuceneNoStopNoStem
1 Q0 CACM-2036 78 0.119482964 LuceneNoStopNoStem
1 Q0 CACM-1236 79 0.11782657 LuceneNoStopNoStem
1 Q0 CACM-2228 80 0.11483863 LuceneNoStopNoStem
1 Q0 CACM-1341 81 0.11426446 LuceneNoStopNoStem
1 Q0 CACM-1590 82 0.11370643 LuceneNoStopNoStem
1 Q0 CACM-2951 83 0.1132903 LuceneNoStopNoStem
1 Q0 CACM-3112 84 0.11225021 LuceneNoStopNoStem
1 Q0 CACM-1747 85 0.111361265 LuceneNoStopNoStem
1 Q0 CACM-0637 86 0.10988011 LuceneNoStopNoStem
1 Q0 CACM-1542 87 0.10972058 LuceneNoStopNoStem
1 Q0 CACM-2764 88 0.10186884 LuceneNoStopNoStem
1 Q0 CACM-1901 89 0.1009004 LuceneNoStopNoStem
1 Q0 CACM-2003 90 0.100499086 LuceneNoStopNoStem
1 Q0 CACM-3023 91 0.100431345 LuceneNoStopNoStem
1 Q0 CACM-2838 92 0.099994026 LuceneNoStopNoStem
1 Q0 CACM-2624 93 0.099985495 LuceneNoStopNoStem
1 Q0 CACM-3065 94 0.09941859 LuceneNoStopNoStem
1 Q0 CACM-1179 95 0.098814145 LuceneNoStopNoStem
1 Q0 CACM-1417 96 0.09816216 LuceneNoStopNoStem
1 Q0 CACM-2542 97 0.09727159 LuceneNoStopNoStem
1 Q0 CACM-3011 98 0.097008854 LuceneNoStopNoStem
1 Q0 CACM-1264 99 0.09689572 LuceneNoStopNoStem
1 Q0 CACM-1393 100 0.096816525 LuceneNoStopNoStem

For query: i am interested in articles written either by prieve or udo pooch prieve b pooch u

2 Q0 CACM-2434 1 0.20169652 LuceneNoStopNoStem
2 Q0 CACM-3078 2 0.15811758 LuceneNoStopNoStem
2 Q0 CACM-2863 3 0.1253858 LuceneNoStopNoStem
2 Q0 CACM-0497 4 0.064101696 LuceneNoStopNoStem
2 Q0 CACM-2786 5 0.06256561 LuceneNoStopNoStem
2 Q0 CACM-3129 6 0.059489947 LuceneNoStopNoStem
2 Q0 CACM-3202 7 0.05047359 LuceneNoStopNoStem
2 Q0 CACM-2250 8 0.04751636 LuceneNoStopNoStem
2 Q0 CACM-0616 9 0.046725813 LuceneNoStopNoStem
2 Q0 CACM-2039 10 0.045512155 LuceneNoStopNoStem
2 Q0 CACM-1264 11 0.045437694 LuceneNoStopNoStem
2 Q0 CACM-1977 12 0.04518383 LuceneNoStopNoStem
2 Q0 CACM-2534 13 0.044159044 LuceneNoStopNoStem
2 Q0 CACM-1931 14 0.03973826 LuceneNoStopNoStem
2 Q0 CACM-2177 15 0.038090795 LuceneNoStopNoStem
2 Q0 CACM-3199 16 0.036779672 LuceneNoStopNoStem
2 Q0 CACM-1012 17 0.03660126 LuceneNoStopNoStem
2 Q0 CACM-2714 18 0.03556001 LuceneNoStopNoStem
2 Q0 CACM-0397 19 0.03426061 LuceneNoStopNoStem
2 Q0 CACM-1519 20 0.034208547 LuceneNoStopNoStem
2 Q0 CACM-2572 21 0.0337999 LuceneNoStopNoStem
2 Q0 CACM-0847 22 0.032464936 LuceneNoStopNoStem
2 Q0 CACM-1652 23 0.032274164 LuceneNoStopNoStem
2 Q0 CACM-3144 24 0.03225213 LuceneNoStopNoStem
2 Q0 CACM-2304 25 0.031677574 LuceneNoStopNoStem
2 Q0 CACM-0335 26 0.029873872 LuceneNoStopNoStem
2 Q0 CACM-0282 27 0.029283429 LuceneNoStopNoStem
2 Q0 CACM-2939 28 0.029123994 LuceneNoStopNoStem
2 Q0 CACM-3086 29 0.027974082 LuceneNoStopNoStem
2 Q0 CACM-0727 30 0.027876474 LuceneNoStopNoStem
2 Q0 CACM-1364 31 0.027876474 LuceneNoStopNoStem
2 Q0 CACM-3180 32 0.027717875 LuceneNoStopNoStem
2 Q0 CACM-1861 33 0.027271423 LuceneNoStopNoStem
2 Q0 CACM-2968 34 0.027046975 LuceneNoStopNoStem
2 Q0 CACM-2971 35 0.027046975 LuceneNoStopNoStem
2 Q0 CACM-2342 36 0.02703992 LuceneNoStopNoStem
2 Q0 CACM-2845 37 0.02700893 LuceneNoStopNoStem
2 Q0 CACM-1010 38 0.026796594 LuceneNoStopNoStem
2 Q0 CACM-0408 39 0.025689365 LuceneNoStopNoStem
2 Q0 CACM-1821 40 0.025590066 LuceneNoStopNoStem
2 Q0 CACM-1593 41 0.025003478 LuceneNoStopNoStem
2 Q0 CACM-3171 42 0.025003478 LuceneNoStopNoStem
2 Q0 CACM-1569 43 0.024284758 LuceneNoStopNoStem
2 Q0 CACM-1674 44 0.024189098 LuceneNoStopNoStem
2 Q0 CACM-0854 45 0.02375818 LuceneNoStopNoStem
2 Q0 CACM-0372 46 0.023140945 LuceneNoStopNoStem
2 Q0 CACM-0391 47 0.023140945 LuceneNoStopNoStem
2 Q0 CACM-0394 48 0.023140945 LuceneNoStopNoStem
2 Q0 CACM-0798 49 0.023140945 LuceneNoStopNoStem
2 Q0 CACM-0853 50 0.023140945 LuceneNoStopNoStem
2 Q0 CACM-1105 51 0.023140945 LuceneNoStopNoStem
2 Q0 CACM-1136 52 0.023140945 LuceneNoStopNoStem
2 Q0 CACM-1139 53 0.023140945 LuceneNoStopNoStem
2 Q0 CACM-1702 54 0.023140945 LuceneNoStopNoStem
2 Q0 CACM-1272 55 0.022968508 LuceneNoStopNoStem
