Ranking (Top 100) for the queries with PRF in Expanded_Queries.txt in the format:
query_id Q0 doc_id rank BM25_Relevance_score system_name


For query : what articles exist which deal with tss time sharing system an operating for ibm computers program memory interarrival distribution data performance monitoring software criteria systems simulation development

1 Q0 CACM-1410 2 47.882223396626976 BM25_model
1 Q0 CACM-1827 3 40.54097769376564 BM25_model
1 Q0 CACM-1572 4 38.63504408502643 BM25_model
1 Q0 CACM-1938 5 35.56910005363096 BM25_model
1 Q0 CACM-2151 6 32.978840549238704 BM25_model
1 Q0 CACM-1728 7 30.747212869221528 BM25_model
1 Q0 CACM-2798 8 30.578072876355126 BM25_model
1 Q0 CACM-1605 9 30.34119068945776 BM25_model
1 Q0 CACM-2379 10 30.29300574513028 BM25_model
1 Q0 CACM-2344 11 30.14933064511238 BM25_model
1 Q0 CACM-1752 12 30.09993914962655 BM25_model
1 Q0 CACM-2424 13 30.07529000983928 BM25_model
1 Q0 CACM-2319 14 29.791982126573654 BM25_model
1 Q0 CACM-1657 15 29.230488681543445 BM25_model
1 Q0 CACM-2542 16 28.787774393693745 BM25_model
1 Q0 CACM-1908 17 28.36769941703748 BM25_model
1 Q0 CACM-1959 18 28.15487059154081 BM25_model
1 Q0 CACM-2218 19 28.14842994764632 BM25_model
1 Q0 CACM-1750 20 27.777271589408997 BM25_model
1 Q0 CACM-1071 21 27.767586861283526 BM25_model
1 Q0 CACM-1844 22 27.64598559039033 BM25_model
1 Q0 CACM-2667 23 27.478142571198788 BM25_model
1 Q0 CACM-2988 24 27.470922329297125 BM25_model
1 Q0 CACM-2378 25 27.392264532451065 BM25_model
1 Q0 CACM-3025 26 27.214250936173404 BM25_model
1 Q0 CACM-1747 27 26.668588068913703 BM25_model
1 Q0 CACM-2535 28 26.198079787217406 BM25_model
1 Q0 CACM-2375 29 25.76553416255507 BM25_model
1 Q0 CACM-2812 30 25.701237654652967 BM25_model
1 Q0 CACM-1811 31 25.597579560198298 BM25_model
1 Q0 CACM-2669 32 25.299676956680678 BM25_model
1 Q0 CACM-2522 33 25.239796402424858 BM25_model
1 Q0 CACM-2358 34 25.144434072380754 BM25_model
1 Q0 CACM-2951 35 24.918776561515806 BM25_model
1 Q0 CACM-2017 36 24.891040005889863 BM25_model
1 Q0 CACM-1719 37 24.705381033985248 BM25_model
1 Q0 CACM-1226 38 24.662443749109364 BM25_model
1 Q0 CACM-2311 39 24.45920588655974 BM25_model
1 Q0 CACM-3068 40 24.367542412437707 BM25_model
1 Q0 CACM-2372 41 24.33980041718136 BM25_model
1 Q0 CACM-1805 42 24.261054298206517 BM25_model
1 Q0 CACM-1518 43 24.15892919769834 BM25_model
1 Q0 CACM-1677 44 24.128336145443495 BM25_model
1 Q0 CACM-2247 45 24.090833923186242 BM25_model
1 Q0 CACM-2947 46 24.02693824896479 BM25_model
1 Q0 CACM-2314 47 23.642024076563786 BM25_model
1 Q0 CACM-2188 48 23.547183411562877 BM25_model
1 Q0 CACM-1680 49 23.259994222712 BM25_model
1 Q0 CACM-1380 50 23.257845847243082 BM25_model
1 Q0 CACM-3153 51 23.22579563364434 BM25_model
1 Q0 CACM-2740 52 22.99833133190028 BM25_model
