comput and urban societi thi brief survei of the us
of comput in urban societi cover the broad rang of
activ found in ani citi the futur scope of applic
is limit onli by the imagin and invent of futur
system design programm analyst and decis maker the comput can
be if properli us with respect for human digniti and
civil liberti a signific factor in improv the effici of
the urban process it is expect that the benefit of
such comput usag will outweigh the cost and that we
mai look forward to an expans of such usag cacm
juli 1972 sturman g m urban system urban applic data
acquisit data manag engin analysi inform system 3 23 3
39 3 53 3 72 3 82 3 89 ca720720
jb januari 30 1978 11 05 am 2308 5 2308
2308 5 2308 2308 5 2308
