reduc the retriev time of scatter storag techniqu a new
method for enter and retriev inform in a hash tabl
is describ the method is intend to be effici if
most entri ar look up sever time the expect number
of probe to look up an entri predict theoret and
verifi by mont carlo experi is consider less than for
other compar method if the tabl is nearli full an
exampl of a possibl fortran implement is given cacm februari
1973 brent r p address calcul content address file search
hash address hash code linear probe linear quotient method scatter
storag search symbol tabl 3 7 3 73 3 74
4 1 4 9 ca730205 jb januari 24 1978 2
12 pm 1271 4 2543 1676 4 2543 1682 4
2543 1728 4 2543 1785 4 2543 1860 4 2543
1860 4 2543 1973 4 2543 1973 4 2543 1973
4 2543 1973 4 2543 1992 4 2543 1992 4
2543 2018 4 2543 2018 4 2543 2018 4 2543
2032 4 2543 2033 4 2543 2033 4 2543 2107
4 2543 2107 4 2543 2109 4 2543 2109 4
2543 2138 4 2543 2203 4 2543 2203 4 2543
2203 4 2543 2203 4 2543 2251 4 2543 2251
4 2543 2251 4 2543 2251 4 2543 2251 4
2543 2359 4 2543 2524 4 2543 2530 4 2543
2534 4 2543 2537 4 2543 2543 4 2543 2543
4 2543 2543 4 2543 2543 4 2543 2543 4
2543 2543 4 2543 2552 4 2543 2552 4 2543
2559 4 2543 2559 4 2543 2559 4 2543 2573
4 2543 2573 4 2543 2770 4 2543 2770 4
2543 2770 4 2543 2974 4 2543 2991 4 2543
2991 4 2543 3053 4 2543 3053 4 2543 3053
4 2543 3053 4 2543 3083 4 2543 3083 4
2543 911 4 2543 1785 5 2543 1786 5 2543
1973 5 2543 332 5 2543 2107 5 2543 2109
5 2543 2412 5 2543 2543 5 2543 2543 5
2543 2543 5 2543 3053 5 2543 3083 5 2543
1328 6 2543 1329 6 2543 1785 6 2543 1973
6 2543 1973 6 2543 1992 6 2543 2107 6
2543 2107 6 2543 2109 6 2543 2412 6 2543
2543 6 2543 2543 6 2543 2543 6 2543 2552
6 2543 2673 6 2543 2707 6 2543 2770 6
2543
