matrix comput with fortran and page the effici of convent
fortran program for matrix comput can often be improv by
revers the order of nest loop such modif produc modest
save in mani common situat and veri signific save for
larg problem run under an oper system which us page
cacm april 1972 moler c b matrix algorithm linear equat
fortran page memori virtual memori arrai process 4 22 4
32 5 14 ca720408 jb januari 31 1978 12 54
pm 1613 4 2365 1646 4 2365 1879 4 2365
1884 4 2365 1900 4 2365 1901 4 2365 1955
4 2365 2025 4 2365 2095 4 2365 2154 4
2365 2277 4 2365 2297 4 2365 2365 4 2365
2365 4 2365 2365 4 2365 2365 4 2365 2506
4 2365 2582 4 2365 3060 4 2365 3152 4
2365 987 5 2365 1754 5 2365 1924 5 2365
2362 5 2365 2365 5 2365 2365 5 2365 2365
5 2365 3152 5 2365 1924 6 2365 2365 6
2365 2365 6 2365
