Ranking (Top 100) for the queries in Cleaned_Queries.txt in the format:
query_id Q0 doc_id rank QLM_score system_name


For query : what articles exist which deal with tss time sharing system an operating system for ibm computers

1 Q0 CACM-1938 1 0.23590065824973117 Query_Likelihood_Model
1 Q0 CACM-2407 2 0.2349836250984344 Query_Likelihood_Model
1 Q0 CACM-1959 3 0.21212399888416356 Query_Likelihood_Model
1 Q0 CACM-2319 4 0.21152474204465177 Query_Likelihood_Model
1 Q0 CACM-2126 5 0.19624981032756086 Query_Likelihood_Model
1 Q0 CACM-1657 6 0.19418947480359972 Query_Likelihood_Model
1 Q0 CACM-1393 7 0.18710884779528328 Query_Likelihood_Model
1 Q0 CACM-1885 8 0.1857844714139494 Query_Likelihood_Model
1 Q0 CACM-2764 9 0.184776321561324 Query_Likelihood_Model
1 Q0 CACM-1989 10 0.18135246729193213 Query_Likelihood_Model
1 Q0 CACM-2812 11 0.18081505283542382 Query_Likelihood_Model
1 Q0 CACM-1917 12 0.18057748858670045 Query_Likelihood_Model
1 Q0 CACM-1827 13 0.1804885945017337 Query_Likelihood_Model
1 Q0 CACM-1900 14 0.1797245116185626 Query_Likelihood_Model
1 Q0 CACM-1033 15 0.17814067986387502 Query_Likelihood_Model
1 Q0 CACM-1032 16 0.17800460879559477 Query_Likelihood_Model
1 Q0 CACM-1226 17 0.1773165933350171 Query_Likelihood_Model
1 Q0 CACM-0594 18 0.17728150048518523 Query_Likelihood_Model
1 Q0 CACM-2372 19 0.17619044474527026 Query_Likelihood_Model
1 Q0 CACM-1179 20 0.17560154673229858 Query_Likelihood_Model
1 Q0 CACM-3087 21 0.17321418663984595 Query_Likelihood_Model
1 Q0 CACM-2965 22 0.1720719833480987 Query_Likelihood_Model
1 Q0 CACM-2308 23 0.17004971487059514 Query_Likelihood_Model
1 Q0 CACM-2365 24 0.16886041287269538 Query_Likelihood_Model
1 Q0 CACM-2311 25 0.16886041287269535 Query_Likelihood_Model
1 Q0 CACM-1496 26 0.1664941208777492 Query_Likelihood_Model
1 Q0 CACM-2798 27 0.16582737575943735 Query_Likelihood_Model
1 Q0 CACM-1668 28 0.1657052831367962 Query_Likelihood_Model
1 Q0 CACM-1937 29 0.1640049056221011 Query_Likelihood_Model
1 Q0 CACM-2988 30 0.16378871068378598 Query_Likelihood_Model
1 Q0 CACM-1719 31 0.16255263927474778 Query_Likelihood_Model
1 Q0 CACM-1173 32 0.16253655505190817 Query_Likelihood_Model
1 Q0 CACM-2345 33 0.16253363064775553 Query_Likelihood_Model
1 Q0 CACM-2371 34 0.16252924404152655 Query_Likelihood_Model
1 Q0 CACM-0656 35 0.16250877321245796 Query_Likelihood_Model
1 Q0 CACM-2357 36 0.16032661187748748 Query_Likelihood_Model
1 Q0 CACM-1267 37 0.15969006446515469 Query_Likelihood_Model
1 Q0 CACM-1071 38 0.158751636476161 Query_Likelihood_Model
1 Q0 CACM-2984 39 0.15836111517278356 Query_Likelihood_Model
1 Q0 CACM-1542 40 0.15803728818378254 Query_Likelihood_Model
1 Q0 CACM-3068 41 0.15798194248762937 Query_Likelihood_Model
1 Q0 CACM-1591 42 0.15756940789833895 Query_Likelihood_Model
