heap appli to event driven mechan cacm juli 1976 gonnet
g h discret event simul event scan mechan prioriti queue
heap 4 34 8 1 ca760709 jb januari 4 1978
11 05 am 2042 4 2844 2222 4 2844 2356
4 2844 2679 4 2844 2757 4 2844 2844 4
2844 2844 4 2844 2844 4 2844 2844 4 2844
2936 4 2844 2936 4 2844 2972 4 2844 3051
4 2844 3064 4 2844 3064 4 2844 3109 4
2844 970 5 2844 1059 5 2844 2742 5 2844
2767 5 2844 2844 5 2844 2844 5 2844 2844
5 2844 3051 5 2844 3109 5 2844 2767 6
2844 2767 6 2844 2844 6 2844 2844 6 2844
