convers of limit entri decis tabl to comput program a
propos modif to pollack s algorithm pollack ha propos an
algorithm for convert decis tabl into flowchart which minim subsequ
execut time when compil into a comput program two modif
of thi algorithm ar propos the first reli on shannon
s noiseless code theorem and the commun concept of entropi
but doe not complet test the els rule the second
modif complet test the els rule but result in more
execut than the first modif both modif result in modif
guarante a global optim solut cacm februari 1971 shwayder k
code decis tabl entropi inform theori noiseless channel sort 3
50 5 31 ca710201 jb februari 8 1978 10 06
am 1237 4 2220 1354 4 2220 1354 4 2220
1354 4 2220 1488 4 2220 1488 4 2220 1548
4 2220 1684 4 2220 1994 4 2220 2053 4
2220 2053 4 2220 2053 4 2220 2053 4 2220
2220 4 2220 2220 4 2220 2220 4 2220 2220
4 2220 2220 4 2220 2220 4 2220 2220 4
2220 2273 4 2220 2273 4 2220 2273 4 2220
2273 4 2220 2453 4 2220 2453 4 2220 2492
4 2220 2518 4 2220 2598 4 2220 2598 4
2220 2616 4 2220 2726 4 2220 2726 4 2220
2726 4 2220 2726 4 2220 2726 4 2220 2856
4 2220 2856 4 2220 2856 4 2220 3113 4
2220 753 4 2220 1172 5 2220 1237 5 2220
1327 5 2220 1354 5 2220 250 5 2220 1489
5 2220 1548 5 2220 2220 5 2220 2220 5
2220 2220 5 2220 2273 5 2220 2453 5 2220
2598 5 2220 2726 5 2220 2856 5 2220 1172
6 2220 1172 6 2220 1172 6 2220 1172 6
2220 1172 6 2220 1237 6 2220 1327 6 2220
1327 6 2220 1327 6 2220 1354 6 2220 1354
6 2220 1354 6 2220 1354 6 2220 1488 6
2220 1489 6 2220 1548 6 2220 1548 6 2220
2053 6 2220 2053 6 2220 2053 6 2220 2220
6 2220 2220 6 2220 2220 6 2220 2220 6
2220 2220 6 2220 2221 6 2220 2263 6 2220
2263 6 2220 2453 6 2220 2453 6 2220 2598
6 2220 2691 6 2220 753 6 2220
