multiprocess compactifi garbag collect algorithm for a multiprocess compactifi garbag
collector ar present and discuss the simpl case of two
processor on perform lisp like list oper and the other
perform garbag collect continu is thoroughli examin the necessari capabl
of each processor ar defin as well as interprocessor commun
and interlock complet procedur for garbag collect and for standard
list process primit ar present and thoroughli explain particular attent
is given to the problem of mark and reloc list
cell while anoth processor mai be oper on them the
primari aim throughout is to allow the list processor to
run unimped while the other processor reclaim list storag the
more complex case involv sever list processor and on or
more garbag collect processor ar also briefli discuss cacm septemb
1975 steel g l jr garbag collect storag reclam reclaim
storag alloc multiprocess synchron semaphor parallel process compactif reloc lisp
list process free storag pointer data structur gc processor 4
19 4 32 4 40 4 49 4 9 ca750901
jb januari 6 1978 3 39 pm 1024 4 2723
1024 4 2723 1050 4 2723 1051 4 2723 1051
4 2723 1098 4 2723 1102 4 2723 1132 4
2723 1214 4 2723 1380 4 2723 1388 4 2723
1390 4 2723 1393 4 2723 1485 4 2723 1486
4 2723 1487 4 2723 1549 4 2723 1549 4
2723 1549 4 2723 1570 4 2723 1706 4 2723
1826 4 2723 1828 4 2723 1854 4 2723 1869
4 2723 1877 4 2723 1878 4 2723 1878 4
2723 1946 4 2723 1957 4 2723 1960 4 2723
1972 4 2723 378 4 2723 2060 4 2723 2150
4 2723 2155 4 2723 2156 4 2723 2168 4
2723 2168 4 2723 2168 4 2723 2317 4 2723
2319 4 2723 2377 4 2723 2342 4 2723 2376
4 2723 2379 4 2723 2424 4 2723 2438 4
2723 2482 4 2723 2513 4 2723 2618 4 2723
2632 4 2723 2665 4 2723 2704 4 2723 2719
4 2723 2723 4 2723 2723 4 2723 2723 4
2723 2723 4 2723 2723 4 2723 2723 4 2723
2723 4 2723 2736 4 2723 2738 4 2723 2740
4 2723 2741 4 2723 2833 4 2723 2838 4
2723 2842 4 2723 2855 4 2723 2855 4 2723
2855 4 2723 2857 4 2723 2867 4 2723 2879
4 2723 2882 4 2723 2941 4 2723 2956 4
2723 3030 4 2723 3074 4 2723 3077 4 2723
3080 4 2723 3106 4 2723 3106 4 2723 3112
4 2723 3112 4 2723 3184 4 2723 627 4
2723 731 4 2723 793 4 2723 106 4 2723
210 5 2723 1549 5 2723 1749 5 2723 1826
5 2723 2651 5 2723 2723 5 2723 2723 5
2723 2723 5 2723 2838 5 2723 2896 5 2723
3039 5 2723 3074 5 2723 3112 5 2723 627
5 2723 731 5 2723 106 6 2723 1380 6
2723 1826 6 2723 1826 6 2723 210 6 2723
1834 6 2723 1853 6 2723 1972 6 2723 1972
6 2723 2438 6 2723 2723 6 2723 2723 6
2723 2723 6 2723 2723 6 2723 2723 6 2723
2732 6 2723 2732 6 2723 2736 6 2723 2833
6 2723 2838 6 2723 2896 6 2723 731 6
2723
